1    1
1.0000000000000000e+001   0.0000000000000000e+000   1.7915748675000276e+000
9.9949999999999992e+000   0.0000000000000000e+000   1.7971435640449700e+000
9.9860000000000007e+000   0.0000000000000000e+000   1.8027295695965146e+000
9.9770000000000003e+000   0.0000000000000000e+000   1.8083329379557092e+000
9.9680000000000000e+000   0.0000000000000000e+000   1.8139537230908298e+000
9.9589999999999996e+000   0.0000000000000000e+000   1.8195919791379003e+000
9.9499999999999993e+000   0.0000000000000000e+000   1.8252477604012138e+000
9.9410000000000007e+000   0.0000000000000000e+000   1.8309211213538563e+000
9.9320000000000004e+000   0.0000000000000000e+000   1.8366121166382303e+000
9.9230000000000000e+000   0.0000000000000000e+000   1.8423208010665817e+000
9.9139999999999997e+000   0.0000000000000000e+000   1.8480472296215273e+000
9.9049999999999994e+000   0.0000000000000000e+000   1.8537914574565852e+000
9.8960000000000008e+000   0.0000000000000000e+000   1.8595535398967054e+000
9.8870000000000005e+000   0.0000000000000000e+000   1.8653335324388023e+000
9.8780000000000001e+000   0.0000000000000000e+000   1.8711314907522900e+000
9.8689999999999998e+000   0.0000000000000000e+000   1.8769474706796179e+000
9.8599999999999994e+000   0.0000000000000000e+000   1.8827815282368090e+000
9.8510000000000009e+000   0.0000000000000000e+000   1.8886337196139991e+000
9.8420000000000005e+000   0.0000000000000000e+000   1.8945041011759776e+000
9.8330000000000002e+000   0.0000000000000000e+000   1.9003927294627316e+000
9.8239999999999998e+000   0.0000000000000000e+000   1.9062996611899889e+000
9.8149999999999995e+000   0.0000000000000000e+000   1.9122249532497659e+000
9.8059999999999992e+000   0.0000000000000000e+000   1.9181686627109140e+000
9.7970000000000006e+000   0.0000000000000000e+000   1.9241308468196698e+000
9.7880000000000003e+000   0.0000000000000000e+000   1.9301115630002075e+000
9.7789999999999999e+000   0.0000000000000000e+000   1.9361108688551902e+000
9.7699999999999996e+000   0.0000000000000000e+000   1.9421288221663262e+000
9.7609999999999992e+000   0.0000000000000000e+000   1.9481654808949243e+000
9.7520000000000007e+000   0.0000000000000000e+000   1.9542209031824529e+000
9.7430000000000003e+000   0.0000000000000000e+000   1.9602951473510999e+000
9.7340000000000000e+000   0.0000000000000000e+000   1.9663882719043340e+000
9.7249999999999996e+000   0.0000000000000000e+000   1.9725003355274686e+000
9.7159999999999993e+000   0.0000000000000000e+000   1.9786313970882268e+000
9.7070000000000007e+000   0.0000000000000000e+000   1.9847815156373081e+000
9.6980000000000004e+000   0.0000000000000000e+000   1.9909507504089581e+000
9.6890000000000001e+000   0.0000000000000000e+000   1.9971391608215376e+000
9.6799999999999997e+000   0.0000000000000000e+000   2.0033468064780964e+000
9.6709999999999994e+000   0.0000000000000000e+000   2.0095737471669461e+000
9.6620000000000008e+000   0.0000000000000000e+000   2.0158200428622361e+000
9.6530000000000005e+000   0.0000000000000000e+000   2.0220857537245331e+000
9.6440000000000001e+000   0.0000000000000000e+000   2.0283709401013970e+000
9.6349999999999998e+000   0.0000000000000000e+000   2.0346756625279658e+000
9.6259999999999994e+000   0.0000000000000000e+000   2.0409999817275364e+000
9.6169999999999991e+000   0.0000000000000000e+000   2.0473439586121494e+000
9.6080000000000005e+000   0.0000000000000000e+000   2.0537076542831771e+000
9.5990000000000002e+000   0.0000000000000000e+000   2.0600911300319118e+000
9.5899999999999999e+000   0.0000000000000000e+000   2.0664944473401543e+000
9.5809999999999995e+000   0.0000000000000000e+000   2.0729176678808088e+000
9.5719999999999992e+000   0.0000000000000000e+000   2.0793608535184740e+000
9.5630000000000006e+000   0.0000000000000000e+000   2.0858240663100416e+000
9.5540000000000003e+000   0.0000000000000000e+000   2.0923073685052920e+000
9.5449999999999999e+000   0.0000000000000000e+000   2.0988108225474953e+000
9.5359999999999996e+000   0.0000000000000000e+000   2.1053344910740122e+000
9.5269999999999992e+000   0.0000000000000000e+000   2.1118784369168959e+000
9.5180000000000007e+000   0.0000000000000000e+000   2.1184427231035001e+000
9.5090000000000003e+000   0.0000000000000000e+000   5.6568542494923806e+000
9.5000000000000000e+000   3.8456257086096415e-009   5.6568542494923806e+000
9.4909999999999997e+000   6.1659207357955825e-008   5.6568542494923806e+000
9.4819999999999993e+000   1.7344074458531871e-007   5.6568542494923806e+000
9.4730000000000008e+000   3.3919023120288546e-007   5.6568542494923806e+000
9.4640000000000004e+000   5.5890765519791283e-007   5.6568542494923806e+000
9.4550000000000001e+000   8.3259299873245617e-007   5.6568542494923806e+000
9.4459999999999997e+000   1.1602462381434778e-006   5.6568542494923806e+000
9.4369999999999994e+000   1.5418673439427386e-006   5.6568542494923806e+000
9.4280000000000008e+000   1.9774562808170691e-006   5.6568542494923806e+000
9.4190000000000005e+000   2.4670130076282068e-006   5.6568542494923806e+000
9.4100000000000001e+000   3.0105374774126335e-006   5.6568542494923806e+000
9.4009999999999998e+000   3.6080296373820092e-006   5.6568542494923806e+000
9.3919999999999995e+000   4.2594894289227380e-006   5.6568542494923806e+000
9.3829999999999991e+000   4.9649167875962397e-006   5.6568542494923806e+000
9.3740000000000006e+000   5.7243116431387867e-006   5.6568542494923806e+000
9.3650000000000002e+000   6.5376739194617211e-006   5.6568542494923806e+000
9.3559999999999999e+000   7.4050035346511292e-006   5.6568542494923806e+000
9.3469999999999995e+000   8.3263004009683297e-006   5.6568542494923806e+000
9.3379999999999992e+000   9.3015644248494399e-006   5.6568542494923806e+000
9.3290000000000006e+000   1.0330795506905701e-005   5.6568542494923806e+000
9.3200000000000003e+000   1.1413993541923098e-005   5.6568542494923806e+000
9.3109999999999999e+000   1.2551158418862794e-005   5.6568542494923806e+000
9.3019999999999996e+000   1.3742290020860970e-005   5.6568542494923806e+000
9.2929999999999993e+000   1.4987388225228763e-005   5.6568542494923806e+000
9.2840000000000007e+000   1.6286452903452493e-005   5.6568542494923806e+000
9.2750000000000004e+000   1.7639483921193331e-005   5.6568542494923806e+000
9.2660000000000000e+000   1.9046481138287679e-005   5.6568542494923806e+000
9.2569999999999997e+000   2.0507444408746902e-005   5.6568542494923806e+000
9.2479999999999993e+000   2.2022373580757489e-005   5.6568542494923806e+000
9.2390000000000008e+000   2.3591268496681104e-005   5.6568542494923806e+000
9.2300000000000004e+000   2.5214128993054485e-005   5.6568542494923806e+000
9.2210000000000001e+000   2.6890954900589598e-005   5.6568542494923806e+000
9.2119999999999997e+000   2.8621746044173375e-005   5.6568542494923806e+000
9.2029999999999994e+000   3.0406502242868191e-005   5.6568542494923806e+000
9.1940000000000008e+000   3.2245223309911280e-005   5.6568542494923806e+000
9.1850000000000005e+000   3.4137909052715429e-005   5.6568542494923806e+000
9.1760000000000002e+000   3.6084559272868497e-005   5.6568542494923806e+000
9.1669999999999998e+000   3.8085173766133683e-005   5.6568542494923806e+000
9.1579999999999995e+000   4.0139752322449417e-005   5.6568542494923806e+000
9.1489999999999991e+000   4.2248294725929472e-005   5.6568542494923806e+000
9.1400000000000006e+000   4.4410800754862798e-005   5.6568542494923806e+000
9.1310000000000002e+000   4.6627270181714010e-005   5.6568542494923806e+000
9.1219999999999999e+000   4.8897702773122739e-005   5.6568542494923806e+000
9.1129999999999995e+000   5.1222098289904229e-005   5.6568542494923806e+000
9.1039999999999992e+000   5.3600456487049063e-005   5.6568542494923806e+000
9.0950000000000006e+000   5.6032777113723382e-005   5.6568542494923806e+000
9.0860000000000003e+000   5.8519059913268669e-005   5.6568542494923806e+000
9.0770000000000000e+000   6.1059304623202069e-005   5.6568542494923806e+000
9.0679999999999996e+000   6.3653510975216127e-005   5.6568542494923806e+000
9.0589999999999993e+000   6.6301678695178943e-005   5.6568542494923806e+000
9.0500000000000007e+000   6.9003807503134282e-005   5.6568542494923806e+000
9.0410000000000004e+000   7.1759897113301413e-005   5.6568542494923806e+000
9.0320000000000000e+000   7.4569947234075381e-005   5.6568542494923806e+000
9.0229999999999997e+000   7.7433957568026894e-005   5.6568542494923806e+000
9.0139999999999993e+000   8.0351927811902330e-005   5.6568542494923806e+000
9.0050000000000008e+000   8.3323857656623836e-005   5.6568542494923806e+000
8.9960000000000004e+000   8.6349746787289284e-005   5.6568542494923806e+000
8.9870000000000001e+000   8.9429594883172481e-005   5.6568542494923806e+000
8.9779999999999998e+000   9.2563401617722790e-005   5.6568542494923806e+000
8.9689999999999994e+000   9.5751166658565893e-005   5.6568542494923806e+000
8.9600000000000009e+000   9.8992889667502974e-005   5.6568542494923806e+000
8.9510000000000005e+000   1.0228857030051132e-004   5.6568542494923806e+000
8.9420000000000002e+000   1.0563820820774431e-004   5.6568542494923806e+000
