      XGAUSS          WGAUSS
0 : 0.0000e+000     0.0000e+000
1 : 0.0000e+000     0.0000e+000
2 : -3.9221e-003     7.8441e-003
3 : 1.1766e-002     7.8436e-003
4 : -1.1766e-002     7.8436e-003
5 : 1.9609e-002     7.8427e-003
6 : -1.9609e-002     7.8427e-003
7 : 2.7451e-002     7.8412e-003
8 : -2.7451e-002     7.8412e-003
9 : 3.5291e-002     7.8393e-003
10 : -3.5291e-002     7.8393e-003
11 : 4.3130e-002     7.8369e-003
12 : -4.3130e-002     7.8369e-003
13 : 5.0965e-002     7.8340e-003
14 : -5.0965e-002     7.8340e-003
15 : 5.8797e-002     7.8306e-003
16 : -5.8797e-002     7.8306e-003
17 : 6.6626e-002     7.8267e-003
18 : -6.6626e-002     7.8267e-003
19 : 7.4451e-002     7.8224e-003
20 : -7.4451e-002     7.8224e-003
21 : 8.2271e-002     7.8176e-003
22 : -8.2271e-002     7.8176e-003
23 : 9.0086e-002     7.8123e-003
24 : -9.0086e-002     7.8123e-003
25 : 9.7895e-002     7.8065e-003
26 : -9.7895e-002     7.8065e-003
27 : 1.0570e-001     7.8002e-003
28 : -1.0570e-001     7.8002e-003
29 : 1.1350e-001     7.7935e-003
30 : -1.1350e-001     7.7935e-003
31 : 1.2129e-001     7.7863e-003
32 : -1.2129e-001     7.7863e-003
33 : 1.2907e-001     7.7786e-003
34 : -1.2907e-001     7.7786e-003
35 : 1.3684e-001     7.7704e-003
36 : -1.3684e-001     7.7704e-003
37 : 1.4461e-001     7.7617e-003
38 : -1.4461e-001     7.7617e-003
39 : 1.5237e-001     7.7526e-003
40 : -1.5237e-001     7.7526e-003
41 : 1.6011e-001     7.7430e-003
42 : -1.6011e-001     7.7430e-003
43 : 1.6785e-001     7.7329e-003
44 : -1.6785e-001     7.7329e-003
45 : 1.7558e-001     7.7223e-003
46 : -1.7558e-001     7.7223e-003
47 : 1.8330e-001     7.7113e-003
48 : -1.8330e-001     7.7113e-003
49 : 1.9100e-001     7.6998e-003
50 : -1.9100e-001     7.6998e-003
51 : 1.9870e-001     7.6878e-003
52 : -1.9870e-001     7.6878e-003
53 : 2.0638e-001     7.6753e-003
54 : -2.0638e-001     7.6753e-003
55 : 2.1405e-001     7.6624e-003
56 : -2.1405e-001     7.6624e-003
57 : 2.2170e-001     7.6490e-003
58 : -2.2170e-001     7.6490e-003
59 : 2.2934e-001     7.6351e-003
60 : -2.2934e-001     7.6351e-003
61 : 2.3697e-001     7.6207e-003
62 : -2.3697e-001     7.6207e-003
63 : 2.4458e-001     7.6059e-003
64 : -2.4458e-001     7.6059e-003
65 : 2.5218e-001     7.5906e-003
66 : -2.5218e-001     7.5906e-003
67 : 2.5977e-001     7.5749e-003
68 : -2.5977e-001     7.5749e-003
69 : 2.6733e-001     7.5587e-003
70 : -2.6733e-001     7.5587e-003
71 : 2.7488e-001     7.5420e-003
72 : -2.7488e-001     7.5420e-003
73 : 2.8242e-001     7.5248e-003
74 : -2.8242e-001     7.5248e-003
75 : 2.8993e-001     7.5072e-003
76 : -2.8993e-001     7.5072e-003
77 : 2.9743e-001     7.4892e-003
78 : -2.9743e-001     7.4892e-003
79 : 3.0491e-001     7.4706e-003
80 : -3.0491e-001     7.4706e-003
81 : 3.1237e-001     7.4516e-003
82 : -3.1237e-001     7.4516e-003
83 : 3.1981e-001     7.4322e-003
84 : -3.1981e-001     7.4322e-003
85 : 3.2724e-001     7.4123e-003
86 : -3.2724e-001     7.4123e-003
87 : 3.3464e-001     7.3919e-003
88 : -3.3464e-001     7.3919e-003
89 : 3.4202e-001     7.3711e-003
90 : -3.4202e-001     7.3711e-003
91 : 3.4938e-001     7.3498e-003
92 : -3.4938e-001     7.3498e-003
93 : 3.5672e-001     7.3281e-003
94 : -3.5672e-001     7.3281e-003
95 : 3.6404e-001     7.3059e-003
96 : -3.6404e-001     7.3059e-003
97 : 3.7133e-001     7.2833e-003
98 : -3.7133e-001     7.2833e-003
99 : 3.7860e-001     7.2602e-003
100 : -3.7860e-001     7.2602e-003
101 : 3.8585e-001     7.2367e-003
102 : -3.8585e-001     7.2367e-003
103 : 3.9308e-001     7.2128e-003
104 : -3.9308e-001     7.2128e-003
105 : 4.0028e-001     7.1884e-003
106 : -4.0028e-001     7.1884e-003
107 : 4.0745e-001     7.1635e-003
108 : -4.0745e-001     7.1635e-003
109 : 4.1460e-001     7.1382e-003
110 : -4.1460e-001     7.1382e-003
111 : 4.2173e-001     7.1125e-003
112 : -4.2173e-001     7.1125e-003
113 : 4.2883e-001     7.0863e-003
114 : -4.2883e-001     7.0863e-003
115 : 4.3590e-001     7.0597e-003
116 : -4.3590e-001     7.0597e-003
117 : 4.4295e-001     7.0327e-003
118 : -4.4295e-001     7.0327e-003
119 : 4.4997e-001     7.0052e-003
120 : -4.4997e-001     7.0052e-003
121 : 4.5696e-001     6.9773e-003
122 : -4.5696e-001     6.9773e-003
123 : 4.6392e-001     6.9490e-003
124 : -4.6392e-001     6.9490e-003
125 : 4.7086e-001     6.9202e-003
126 : -4.7086e-001     6.9202e-003
127 : 4.7776e-001     6.8910e-003
128 : -4.7776e-001     6.8910e-003
129 : 4.8464e-001     6.8614e-003
130 : -4.8464e-001     6.8614e-003
131 : 4.9148e-001     6.8314e-003
132 : -4.9148e-001     6.8314e-003
133 : 4.9830e-001     6.8009e-003
134 : -4.9830e-001     6.8009e-003
135 : 5.0509e-001     6.7701e-003
136 : -5.0509e-001     6.7701e-003
